"Street Address 1","Straatnaam"
"Street Address 2","Huisnummer"
"Street Address 3","Huisnummer toevoeging"
"Department","Afdeling"
"Invoice email","Factuur email"
"Main menu","Hoofdmenu"
"Customers Who Viewed This Also Viewed","Andere klanten bekeken ook"
"Search entire store here...",""
"Added to your %s shopping cart%s.","Toegevoegd aan %s winkelwagen%s"
"Incl. Tax","Incl. VAT"
"Excl. Tax","Excl. VAT"
"Comments","Uw inkoopnummer"
Item,Product name
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","*1 pieces are not in stock."